topic,words,scores
topic_-1,prep,0.1330408070409887
topic_-1,cpm,0.12126861660487735
topic_-1,sport,0.11930962759680899
topic_-1,tfp,0.11914528205628377
topic_-1,government_institutional,0.11670686025190614
topic_-1,cannabis,0.11399000075286841
topic_-1,abortion,0.11114632433096279
topic_-1,qualcomm,0.10816066243890518
topic_-1,treatment_program,0.10816066243890518
topic_-1,unb,0.10816066243890518
topic_0,ai,0.751762260878998
topic_0,artificial_intelligence,0.4893222257740959
topic_0,emotional_airelate,0.4533757067181468
topic_0,ai_implementer,0.4533757067181468
topic_0,inventorship,0.43843058831685444
topic_0,ai_machine,0.4271816673942006
topic_0,ai_ruling,0.3966597805753811
topic_0,initial_set,0.3966597805753811
topic_0,data_owner,0.3966597805753811
topic_0,human_intervention,0.3671868738056929
topic_1,upc,0.525504158299922
topic_1,unified_patent_court,0.48704138104750133
topic_1,unitary_patent,0.42525059464798554
topic_1,eu,0.4026002517837562
topic_1,analytical_reflection,0.390506119737477
topic_1,prong,0.3705201568157418
topic_1,dutch_court,0.3562545275911275
topic_1,fee_shift,0.3562545275911275
topic_1,european_jurisdiction,0.3562545275911275
topic_1,participatory,0.3562545275911275
topic_2,threedimensional_shape,0.49995613357560925
topic_2,albania,0.4744398046477764
topic_2,trade_mark,0.4622709456660196
topic_2,germany_switzerland,0.45999823260440553
topic_2,eu,0.36261567399490946
topic_2,supplementary_protection_certificate,0.36195585474197134
topic_2,eu_membership,0.3576371205999667
topic_2,eu_acquis,0.3576371205999667
topic_2,separate_legal,0.3576371205999667
topic_2,eu_institution,0.3576371205999667
topic_3,remanufacturer,0.7474671602856512
topic_3,remanufacturing,0.6809114827705475
topic_3,remanufacture_product,0.6698168781091486
topic_3,oem,0.6274582029870832
topic_3,closedloop_supply_chain,0.5781589797466323
topic_3,original_manufacturer,0.5430033580110349
topic_3,clsc,0.5268237736804866
topic_3,remanufacturing_degree,0.5021528707277142
topic_3,pcm,0.5021528707277142
topic_3,licensing_fee,0.4753929171820601
topic_4,indigenous,0.42711288429379923
topic_4,maori,0.40873525610259936
topic_4,theft_of_trade_secret,0.3823695730424373
topic_4,nagoya_protocol,0.3599624074653774
topic_4,indigenous_people,0.35775540425574015
topic_4,rooibos,0.3499132749962684
topic_4,itk,0.3499132749962684
topic_4,traditional_knowledge,0.3498093554772409
topic_4,protect_indigenous,0.3387514767128148
topic_4,access_benefitsharing,0.33107945373752806
topic_5,brazil,0.5663835378470444
topic_5,brazilian,0.5617294959737806
topic_5,hts_cable,0.4653188945260848
topic_5,bem,0.41069096267143257
topic_5,lei,0.41069096267143257
topic_5,tto,0.4099199277528021
topic_5,brazils,0.4094735702547283
topic_5,inpi,0.37881459846127025
topic_5,brazilian_academic,0.3746008688360962
topic_5,termination,0.3475459581233741
topic_6,thailand,0.36064685572331073
topic_6,csp_application,0.3583777558627324
topic_6,chinas_compulsory,0.32724591387236823
topic_6,compulsory_license,0.31669217638142627
topic_6,disclosure_of_origin,0.31397831147382455
topic_6,ttip,0.31274532637892355
topic_6,trips_flexibility,0.3096613853551443
topic_6,malaysia,0.3068730906427216
topic_6,attempt_cl,0.29508175396992226
topic_6,public_health,0.2915959662637476
topic_7,expvp,0.562250737580397
topic_7,combine_ability,0.5151687793874711
topic_7,zea,0.504539968538551
topic_7,industry_tester,0.47322263563895245
topic_7,diversity_expert,0.47322263563895245
topic_7,2011_2012,0.45898501516644574
topic_7,inbreed,0.455836065576421
topic_7,usda,0.43588637128254343
topic_7,24_expvp,0.4176119115063571
topic_7,data_blank,0.4176119115063571
topic_8,synthetic_biology,0.3441132434439212
topic_8,stem_cell,0.33488401214443797
topic_8,paulescu,0.3274155119547241
topic_8,stem_cell_biotechnological,0.31797269772849723
topic_8,human_embryo,0.3000211506033384
topic_8,romanian,0.2869436431601215
topic_8,geneedite_crop,0.2841976774269977
topic_8,paulescus,0.27039103372032436
topic_8,romanian_scientist,0.27039103372032436
topic_8,ethical,0.26769359555949523
topic_9,seed_commons,0.5570173797885628
topic_9,variety_constituent,0.49646369501101145
topic_9,seed_business,0.49646369501101145
topic_9,variety,0.47331153875665566
topic_9,statutory_experimental,0.4556270807144187
topic_9,13_of_regulation,0.4556270807144187
topic_9,community_plant,0.4556270807144187
topic_9,germplasm,0.4477827154225255
topic_9,protect_variety,0.4308067627987755
topic_9,plant_variety,0.4045787165854862
topic_10,ppmv,0.5298679169386784
topic_10,nigeria,0.5165570865654275
topic_10,ppmvs,0.4444604230355133
topic_10,malaria,0.44037137152651185
topic_10,artemisininbased_combination,0.43027660156207775
topic_10,malaria_treatment,0.4061065141387099
topic_10,mrdt,0.37721610321326005
topic_10,fever,0.3725783498009596
topic_10,95_ci,0.3508816351072516
topic_10,intervention,0.34630096689932205
topic_11,land,0.4449814445598418
topic_11,crop_protection,0.3499804509443619
topic_11,pesticide,0.3457488793893036
topic_11,yoruba,0.3400690961875672
topic_11,afbe,0.3400690961875672
topic_11,law_201301,0.3400690961875672
topic_11,np,0.3341609610718224
topic_11,manure,0.3211487429336961
topic_11,coformulant,0.3211487429336961
topic_11,afme,0.3211487429336961
topic_12,corrosion,0.23388621772496726
topic_12,surface,0.23111808648765644
topic_12,coating,0.22413724408951827
topic_12,sensor,0.22330706417447446
topic_12,bracket,0.21865621933232343
topic_12,quantum,0.20996850674335044
topic_12,prototype,0.20899665092902672
topic_12,damper,0.2052869085609144
topic_12,water,0.20297015299041576
topic_12,temperature,0.2022260833517305
topic_13,indian_pharmaceutical,0.6131687374986962
topic_13,india,0.3873805484156945
topic_13,postgraduate_student,0.37346962137952755
topic_13,bangladesh,0.35614749111816424
topic_13,strategic_choice,0.35014550804050637
topic_13,processfocused_intellectual,0.3476199354812901
topic_13,regime_enjoy,0.3476199354812901
topic_13,1995,0.3337256642868044
topic_13,indian,0.3217950320610383
topic_13,trips_compliance,0.32147934827356606
topic_14,tppa,0.4798358126411124
topic_14,homeopathic,0.4544650410204856
topic_14,linkage_system,0.4162423598865683
topic_14,deposit,0.4088370009231176
topic_14,health_of_citizen,0.3979290288807115
topic_14,illicit_drug,0.39167241080156145
topic_14,term_homeopathy,0.38777456242553254
topic_14,chile,0.3510255030778105
topic_14,ldc,0.35078742144659014
topic_14,facilitate_establishment,0.3398293669031307
topic_15,tkdl,0.5236883973302554
topic_15,folklore,0.4731229923020297
topic_15,icar,0.4278288715538777
topic_15,indian,0.4199597866416326
topic_15,traditional_knowledge,0.4067876753359426
topic_15,digital_library,0.40270584553879357
topic_15,socioeconomic_offence,0.3992802667005345
topic_15,white_collar_crime,0.3992802667005345
topic_15,white_collar,0.3992802667005345
topic_15,protect_expression,0.38597825402331204
topic_16,german,0.5068076535140572
topic_16,sso,0.4588899610292428
topic_16,germany,0.4466681909584305
topic_16,dignity,0.4430654694463245
topic_16,farreaching,0.40539120188969574
topic_16,technical_committee,0.40539120188969574
topic_16,gdr,0.39301214574854093
topic_16,legal_system,0.3846370138417224
topic_16,contributor,0.37524870088293244
topic_16,paris_convention,0.36262860639561184
topic_17,1498,0.5156601047514793
topic_17,hhs_secretary,0.4592305730861799
topic_17,genetic_testing,0.45170637053026214
topic_17,antibody,0.42407809376726063
topic_17,york_times,0.42124348978209375
topic_17,naturally_occur,0.3835427505107802
topic_17,significance_of_genetic,0.37108622180941037
topic_17,biotechnologyrelated_pct,0.37108622180941037
topic_17,gerdgdp,0.37108622180941037
topic_17,recreate_animal,0.37108622180941037
topic_18,insulin_product,0.30010781901408085
topic_18,medicare,0.29104871023738876
topic_18,generic_entry,0.28567527838741513
topic_18,asthma_copd,0.26958514898597263
topic_18,insulin,0.26889846176722615
topic_18,drug_registration,0.2609918499694548
topic_18,cancer_drug,0.26015934091116494
topic_18,nih_funding,0.25462801082140535
topic_18,insulin_glargine,0.2515401610032837
topic_18,authorize_generic_drug,0.25059363063428525
topic_19,covid19,0.37747510530198614
topic_19,vaccine,0.3735321572388894
topic_19,global_vaccine,0.36490707545817147
topic_19,covid19_pandemic,0.3619814043310546
topic_19,covax_facility,0.35316485093695427
topic_19,condition_of_covid19,0.35316485093695427
topic_19,covid19_vaccine,0.35196356205225804
topic_19,parallel_import,0.34228804476643465
topic_19,coronavirus_pandemic,0.3159091850128853
topic_19,allocation_framework,0.3097427092881158
topic_20,vaccine,0.5205953856212994
topic_20,medical_countermeasure,0.4367965385229638
topic_20,pandemic,0.39898858630329376
topic_20,waiver,0.3887767007587391
topic_20,commons,0.36666373747687325
topic_20,covid19,0.3521854715506031
topic_20,vaccine_combat,0.347560395622766
topic_20,covid19_vaccine,0.3313549742338692
topic_20,arv,0.32521106149200874
topic_20,global_health,0.3239343681645393
topic_21,parasite,0.3770482690366311
topic_21,infection,0.35676416067755196
topic_21,chmi,0.3245482771058991
topic_21,vaccination,0.3144720155661416
topic_21,infect,0.28304283701718763
topic_21,mouse,0.28057243993169123
topic_21,prepatent_period,0.2758804596100561
topic_21,antibody_response,0.2614966683977743
topic_21,mosquito,0.2614966683977743
topic_21,plasmodium,0.2614966683977743
topic_22,institutional_investor_communication,0.7417358784414757
topic_22,corporate_green,0.6919103994289323
topic_22,green_innovation,0.6198785165400325
topic_22,customer_concentration,0.6105477725197014
topic_22,banker_director,0.6105477725197014
topic_22,major_customer,0.6105477725197014
topic_22,csr,0.5738755790091162
topic_22,promote_corporate,0.5439981337340005
topic_22,cepi,0.5398120064827647
topic_22,esg_rating,0.5398120064827647
topic_23,digital_health,0.3327230878166576
topic_23,detailing,0.29290685017677587
topic_23,unani_medicine,0.29290685017677587
topic_23,health,0.29283720028808163
topic_23,physician,0.2861315672296329
topic_23,health_care,0.28042854869037426
topic_23,pediatric,0.2759206162248836
topic_23,therapeutic_hazard,0.2565267997541346
topic_23,quack_medicine,0.2565267997541346
topic_23,lrss,0.2565267997541346
topic_24,cell,0.2635582006310566
topic_24,pathway,0.26050347337770874
topic_24,antiinflammatory,0.22581264393167905
topic_24,rat,0.2254337735882704
topic_24,network_pharmacology,0.22394822950429386
topic_24,signaling_pathway,0.21973057422214404
topic_24,molecular_docking,0.21898211042670965
topic_24,compound,0.21829104766353583
topic_24,ali,0.21798270836611397
topic_24,assay,0.21757462525001975
topic_25,stay_period,0.3734162138427225
topic_25,data_exclusivity,0.3697487318269101
topic_25,brand_drug,0.36499878178985157
topic_25,generic_competitor,0.35980537820663444
topic_25,generic_drug,0.35730348480504026
topic_25,generic,0.3433957523189215
topic_25,deter_generic,0.34096512972743
topic_25,brand_manufacturer,0.3279425568080695
topic_25,exclusivity_parking,0.32143591427351503
topic_25,authorize_generic,0.32054872298028164
topic_26,electric_vehicle,0.32642813021346917
topic_26,catalytic_converter,0.3067345713162792
topic_26,energy,0.2865848953833118
topic_26,ecoinnovation,0.28413999534125695
topic_26,carbon_footprint,0.283195673976322
topic_26,ev,0.283195673976322
topic_26,combustion_engine,0.283195673976322
topic_26,renewable_energy_industry,0.283195673976322
topic_26,inhaler,0.2779060102297091
topic_26,grid,0.2742602522620199
topic_27,biosimilar,0.7158420155388973
topic_27,biologic,0.5051448423911002
topic_27,reference_product,0.4614498657701231
topic_27,bpcia,0.41177152784808296
topic_27,biologic_biosimilar,0.3912820045011077
topic_27,belgian,0.3907441161559793
topic_27,biosimilar_approve,0.3907441161559793
topic_27,patent_thicket,0.3737668243437401
topic_27,biologics_price,0.3659840044272394
topic_27,reference_molecule,0.36267332081066983
topic_28,followon_pharmaceutical,0.3887769216996797
topic_28,epogen,0.3512758016512386
topic_28,evergreening,0.31446144421444044
topic_28,ats,0.2988525043875975
topic_28,biopharmaceutical,0.2825793368853149
topic_28,precision_medicine,0.2779967774418343
topic_28,dr,0.2720294508806117
topic_28,personalised_medicine,0.26138056182578556
topic_28,sham_exception,0.26138056182578556
topic_28,generic_procurement,0.26138056182578556
topic_29,rln_lesion,0.4924384164439535
topic_29,airway_protection,0.46446620155310203
topic_29,swallow,0.449079330915464
topic_29,postlesion,0.444207942522707
topic_29,facial_suture,0.444207942522707
topic_29,tongue,0.431545568570593
topic_29,dysphagia,0.4298788199065737
topic_29,syndromic_craniosynostosis,0.42416959381658337
topic_29,bolus_shape,0.42416959381658337
topic_29,aspiration,0.42225026427640505
topic_30,patient,0.36660728981749163
topic_30,artery,0.36143458414659013
topic_30,aneurysm,0.34199157640075295
topic_30,graft,0.33201188493345485
topic_30,patient_undergo,0.3196139880086523
topic_30,rao,0.2953192698086219
topic_30,stroke,0.29318113747048896
topic_30,stent,0.28544696814683274
topic_30,postoperative,0.26795840917478553
topic_30,surgery,0.259990931616852
topic_31,ippf,0.4135018876893065
topic_31,ecigarette_industry,0.4135018876893065
topic_31,ecigarette,0.4135018876893065
topic_31,ti,0.3915012899089673
topic_31,ior,0.3915012899089673
topic_31,au_model,0.3915012899089673
topic_31,inverse_au,0.3655448072338322
topic_31,pres,0.3655448072338322
topic_31,skillbiased_technical,0.3655448072338322
topic_31,packaging_design,0.3655448072338322
topic_32,waterrelated_patent,0.47948961664343853
topic_32,increase_strictness,0.45706617282204487
topic_32,south_korea,0.44655735057143764
topic_32,utility_model,0.4250249821721953
topic_32,internalisation,0.40379120854852024
topic_32,fintech,0.3915121393533769
topic_32,kim,0.3915121393533769
topic_32,internal_knowledge,0.38196271701358175
topic_32,stage_of_development,0.3693948373472715
topic_32,toolgen,0.36852824417824437
topic_33,energy_industry,0.5030570192277164
topic_33,city,0.4969141155772609
topic_33,dige,0.48616764004493496
topic_33,transport_development,0.4673810340551827
topic_33,tee,0.4556744884079753
topic_33,talent_war,0.44620536965308605
topic_33,regional_happiness,0.44620536965308605
topic_33,permeable_pavement,0.4219134267195572
topic_33,urban_ecoefficiency,0.4219134267195572
topic_33,tourism,0.40482526274118336
topic_34,digital_economy,0.4565959782070703
topic_34,cloud_computing,0.4248957234186771
topic_34,real_estate,0.3926692600119419
topic_34,ich,0.3671277450815142
topic_34,chinas_ofdi,0.3663208058172172
topic_34,chinas,0.3615617960740208
topic_34,offshore_wind_power,0.33441536994772525
topic_34,di,0.32800484196716484
topic_34,ofdi,0.3262119180655573
topic_34,water_environment,0.323819576368096
topic_35,pph_partner,0.46202006664203965
topic_35,list_firm,0.460376854316176
topic_35,unused_trademark,0.43123679542095167
topic_35,upper_quantile,0.43123679542095167
topic_35,china_top,0.43123679542095167
topic_35,brand_award,0.43123679542095167
topic_35,international_competitiveness,0.4181228757291466
topic_35,firms_current,0.4181228757291466
topic_35,nonsoe,0.4043671226093371
topic_35,trademark_registration,0.3947292379445793
topic_36,human_gene,0.5363772557335613
topic_36,gene,0.5074306068269203
topic_36,chinese_scholar,0.5067498607133005
topic_36,traditional_medical,0.4967005229138002
topic_36,antitrust_law,0.45672441073649267
topic_36,access_of_hesc,0.44666565265934516
topic_36,unique_response,0.44666565265934516
topic_36,foreign_pressure,0.41286708566507635
topic_36,chinas_patentintensive,0.40707397945798296
topic_36,universityinventor_patent,0.40707397945798296
topic_37,aa,0.4819391842244982
topic_37,fourth_amendment,0.47039510590343636
topic_37,transnational_law,0.44449846593286607
topic_37,chinese,0.42735767085296117
topic_37,institute_private,0.4208735644954249
topic_37,double_edge,0.3690013611010066
topic_37,discretion_achieve,0.3690013611010066
topic_37,revision_introduce,0.3690013611010066
topic_37,duration_extension,0.3690013611010066
topic_37,join_wto,0.3690013611010066
topic_38,environmental_regulation,0.5393848352665975
topic_38,environmental,0.3900984191152384
topic_38,environmental_protection,0.3615320996759725
topic_38,green_utility,0.36082902798324235
topic_38,gti,0.360273026012274
topic_38,enterprise,0.3556036364602829
topic_38,digital_finance,0.3493914423636854
topic_38,proportion_of_global,0.3493914423636854
topic_38,enterprise_gti,0.3493914423636854
topic_38,green,0.34689933117733107
topic_39,green_technology,0.5611984678859793
topic_39,cep,0.4380881074888264
topic_39,carbon_emission_performance,0.43582216811256885
topic_39,esg,0.41233896171516166
topic_39,rdfs,0.40050210796521607
topic_39,esg_performance,0.3949495306757747
topic_39,sustainable_green,0.38609121356921844
topic_39,protection_tax,0.38390289049800536
topic_39,yrd,0.3803679611736672
topic_39,ntu,0.3778309001329482
topic_40,patentable_subject,0.49317239472057695
topic_40,supreme_courts,0.41729601386433973
topic_40,matter_jurisprudence,0.4124770123491603
topic_40,technological_neutrality,0.4124770123491603
topic_40,sequence_datum,0.4124770123491603
topic_40,personal_genomic,0.4124770123491603
topic_40,principle_of_neutrality,0.4124770123491603
topic_40,tcm,0.40342555003314123
topic_40,neutrality,0.3816972421989447
topic_40,personality,0.3806284209512863
topic_41,halfcausation,0.5574267509479932
topic_41,suigenericide,0.48190502928223616
topic_41,soft_ip,0.456297817785804
topic_41,firsttofile,0.44295744482371524
topic_41,imaginary,0.42842559536102737
topic_41,copyright_trademark,0.4269867525172488
topic_41,philosophical_model,0.4260802463022654
topic_41,alternative_nearby,0.4260802463022654
topic_41,firsttoinvent,0.39648905972061915
topic_41,life_table,0.3890692447750486
topic_42,separate_opinion,0.598010098360429
topic_42,icj,0.598010098360429
topic_42,family_control,0.598010098360429
topic_42,utsa_associate,0.598010098360429
topic_42,cybersecurity_risk,0.598010098360429
topic_42,corporate_entity,0.598010098360429
topic_42,predict_probability,0.5486895010447326
topic_42,declaration,0.497784124293173
topic_42,family_firm,0.49309253787630253
topic_42,iii_of_treaty,0.4835181780859403
topic_43,tariff,0.3664720983932459
topic_43,international_trade,0.3557936564987213
topic_43,bilateral_trade,0.3510645828362611
topic_43,national_flexibility,0.3455167764466783
topic_43,international_criminal,0.3455167764466783
topic_43,trade,0.3345409035979907
topic_43,trade_agreement,0.32987966387533824
topic_43,deportation,0.32610706006421053
topic_43,fet,0.3033958321786296
topic_43,needsbased_hierarchy,0.3033958321786296
topic_44,source_disclosure,0.522014767651633
topic_44,um,0.46729038851140503
topic_44,outlicense,0.40275302148556447
topic_44,lot_offer,0.39710806488839917
topic_44,game_conclusion,0.39710806488839917
topic_44,closing_price,0.39710806488839917
topic_44,depreciation,0.3849053869905219
topic_44,startup,0.38310065188221903
topic_44,examination_authority,0.3708779896484971
topic_44,firstmover_advantage,0.3654462712229141
topic_45,triulzi,0.44607325241326323
topic_45,finland,0.44607325241326323
topic_45,predictor,0.409441091743895
topic_45,examination_outcome,0.40699172946441803
topic_45,patentlevel,0.3923241285730019
topic_45,illustrate_substantial,0.3923241285730019
topic_45,unanticipated_reversal,0.3923241285730019
topic_45,average_return,0.3923241285730019
topic_45,propose_broadening,0.3923241285730019
topic_45,indicator_inform,0.3923241285730019
topic_46,claim_construction,0.4041107935571416
topic_46,postaipa,0.3751394150035456
topic_46,parent_application,0.3751394150035456
topic_46,central_claiming,0.3595131307289959
topic_46,accession,0.3241537446640023
topic_46,aipa,0.31965056521153856
topic_46,103,0.31848290441241095
topic_46,technological_geographical,0.3082168727048756
topic_46,claim,0.3009633721664193
topic_46,technological_crowdedness,0.29905074289598516
topic_47,disclosure_obligation,0.49912199821251013
topic_47,disclose_knowledge,0.4807432986800576
topic_47,secrecy,0.4731634790453112
topic_47,gsd,0.4664516212943347
topic_47,genetic,0.4482166552164842
topic_47,incompatibility,0.4291793253775943
topic_47,public_privilege,0.42634715187734973
topic_47,recognize_structural,0.42634715187734973
topic_47,trade_secret,0.42269997020462585
topic_47,disclosure_requirement,0.3873129346371609
topic_48,stock_price,0.5109372494736696
topic_48,standard_nondisclosure,0.4856069787364159
topic_48,crash_risk,0.4856069787364159
topic_48,concept_learning,0.4856069787364159
topic_48,datum_breach,0.4856069787364159
topic_48,extend_nondisclosure,0.4856069787364159
topic_48,bounty,0.44468037831601603
