Topic,Words
Topic 0,"ai, artificial_intelligence, emotional_airelate, ai_implementer, inventorship, ai_machine, ai_ruling, initial_set, data_owner, human_intervention"
Topic 1,"upc, unified_patent_court, unitary_patent, eu, analytical_reflection, prong, dutch_court, fee_shift, european_jurisdiction, participatory"
Topic 2,"threedimensional_shape, albania, trade_mark, germany_switzerland, eu, supplementary_protection_certificate, eu_membership, eu_acquis, separate_legal, eu_institution"
Topic 3,"remanufacturer, remanufacturing, remanufacture_product, oem, closedloop_supply_chain, original_manufacturer, clsc, remanufacturing_degree, pcm, licensing_fee"
Topic 4,"indigenous, maori, theft_of_trade_secret, nagoya_protocol, indigenous_people, rooibos, itk, traditional_knowledge, protect_indigenous, access_benefitsharing"
Topic 5,"brazil, brazilian, hts_cable, bem, lei, tto, brazils, inpi, brazilian_academic, termination"
Topic 6,"thailand, csp_application, chinas_compulsory, compulsory_license, disclosure_of_origin, ttip, trips_flexibility, malaysia, attempt_cl, public_health"
Topic 7,"expvp, combine_ability, zea, industry_tester, diversity_expert, 2011_2012, inbreed, usda, 24_expvp, data_blank"
Topic 8,"synthetic_biology, stem_cell, paulescu, stem_cell_biotechnological, human_embryo, romanian, geneedite_crop, paulescus, romanian_scientist, ethical"
Topic 9,"seed_commons, variety_constituent, seed_business, variety, statutory_experimental, 13_of_regulation, community_plant, germplasm, protect_variety, plant_variety"
Topic 10,"ppmv, nigeria, ppmvs, malaria, artemisininbased_combination, malaria_treatment, mrdt, fever, 95_ci, intervention"
Topic 11,"land, crop_protection, pesticide, yoruba, afbe, law_201301, np, manure, coformulant, afme"
Topic 12,"corrosion, surface, coating, sensor, bracket, quantum, prototype, damper, water, temperature"
Topic 13,"indian_pharmaceutical, india, postgraduate_student, bangladesh, strategic_choice, processfocused_intellectual, regime_enjoy, 1995, indian, trips_compliance"
Topic 14,"tppa, homeopathic, linkage_system, deposit, health_of_citizen, illicit_drug, term_homeopathy, chile, ldc, facilitate_establishment"
Topic 15,"tkdl, folklore, icar, indian, traditional_knowledge, digital_library, socioeconomic_offence, white_collar_crime, white_collar, protect_expression"
Topic 16,"german, sso, germany, dignity, farreaching, technical_committee, gdr, legal_system, contributor, paris_convention"
Topic 17,"1498, hhs_secretary, genetic_testing, antibody, york_times, naturally_occur, significance_of_genetic, biotechnologyrelated_pct, gerdgdp, recreate_animal"
Topic 18,"insulin_product, medicare, generic_entry, asthma_copd, insulin, drug_registration, cancer_drug, nih_funding, insulin_glargine, authorize_generic_drug"
Topic 19,"covid19, vaccine, global_vaccine, covid19_pandemic, covax_facility, condition_of_covid19, covid19_vaccine, parallel_import, coronavirus_pandemic, allocation_framework"
Topic 20,"vaccine, medical_countermeasure, pandemic, waiver, commons, covid19, vaccine_combat, covid19_vaccine, arv, global_health"
Topic 21,"parasite, infection, chmi, vaccination, infect, mouse, prepatent_period, antibody_response, mosquito, plasmodium"
Topic 22,"institutional_investor_communication, corporate_green, green_innovation, customer_concentration, banker_director, major_customer, csr, promote_corporate, cepi, esg_rating"
Topic 23,"digital_health, detailing, unani_medicine, health, physician, health_care, pediatric, therapeutic_hazard, quack_medicine, lrss"
Topic 24,"cell, pathway, antiinflammatory, rat, network_pharmacology, signaling_pathway, molecular_docking, compound, ali, assay"
Topic 25,"stay_period, data_exclusivity, brand_drug, generic_competitor, generic_drug, generic, deter_generic, brand_manufacturer, exclusivity_parking, authorize_generic"
Topic 26,"electric_vehicle, catalytic_converter, energy, ecoinnovation, carbon_footprint, ev, combustion_engine, renewable_energy_industry, inhaler, grid"
Topic 27,"biosimilar, biologic, reference_product, bpcia, biologic_biosimilar, belgian, biosimilar_approve, patent_thicket, biologics_price, reference_molecule"
Topic 28,"followon_pharmaceutical, epogen, evergreening, ats, biopharmaceutical, precision_medicine, dr, personalised_medicine, sham_exception, generic_procurement"
Topic 29,"rln_lesion, airway_protection, swallow, postlesion, facial_suture, tongue, dysphagia, syndromic_craniosynostosis, bolus_shape, aspiration"
Topic 30,"patient, artery, aneurysm, graft, patient_undergo, rao, stroke, stent, postoperative, surgery"
Topic 31,"ippf, ecigarette_industry, ecigarette, ti, ior, au_model, inverse_au, pres, skillbiased_technical, packaging_design"
Topic 32,"waterrelated_patent, increase_strictness, south_korea, utility_model, internalisation, fintech, kim, internal_knowledge, stage_of_development, toolgen"
Topic 33,"energy_industry, city, dige, transport_development, tee, talent_war, regional_happiness, permeable_pavement, urban_ecoefficiency, tourism"
Topic 34,"digital_economy, cloud_computing, real_estate, ich, chinas_ofdi, chinas, offshore_wind_power, di, ofdi, water_environment"
Topic 35,"pph_partner, list_firm, unused_trademark, upper_quantile, china_top, brand_award, international_competitiveness, firms_current, nonsoe, trademark_registration"
Topic 36,"human_gene, gene, chinese_scholar, traditional_medical, antitrust_law, access_of_hesc, unique_response, foreign_pressure, chinas_patentintensive, universityinventor_patent"
Topic 37,"aa, fourth_amendment, transnational_law, chinese, institute_private, double_edge, discretion_achieve, revision_introduce, duration_extension, join_wto"
