topic,words,scores
topic_-1,prep,0.13505985442139165
topic_-1,cpm,0.12323543056864543
topic_-1,tfp,0.12016434225212994
topic_-1,cannabis,0.11572973425416758
topic_-1,chaos,0.11284410017873653
topic_-1,abortion,0.11284410017873653
topic_-1,sport,0.1109729298198809
topic_-1,3dp,0.10981431224012535
topic_-1,qualcomm,0.10981431224012535
topic_-1,treatment_program,0.10981431224012535
topic_0,ai,0.7790798106086564
topic_0,artificial_intelligence,0.48601072370250753
topic_0,ai_implementer,0.4542638218930695
topic_0,emotional_airelate,0.4542638218930695
topic_0,inventorship,0.4304575037556761
topic_0,ai_machine,0.4279767342206442
topic_0,data_owner,0.3973535953073893
topic_0,ai_ruling,0.3973535953073893
topic_0,initial_set,0.3973535953073893
topic_0,aigenerate,0.3967639826030301
topic_1,threedimensional_shape,0.509662986218602
topic_1,albania,0.48377468334452106
topic_1,trade_mark,0.472302369771947
topic_1,germany_switzerland,0.46911456781946775
topic_1,eu,0.3810809099039814
topic_1,epc,0.37417822858237904
topic_1,eu_membership,0.365060078778681
topic_1,eu_institution,0.365060078778681
topic_1,dynamic_governance,0.365060078778681
topic_1,eu_acquis,0.365060078778681
topic_2,upc,0.5504673052666736
topic_2,unified_patent_court,0.5016353652553134
topic_2,unitary_patent,0.43999833545317973
topic_2,analytical_reflection,0.40410792295200354
topic_2,eu,0.40348294620525016
topic_2,prong,0.3917105129189097
topic_2,fee_shift,0.3687698658185635
topic_2,dutch_court,0.3687698658185635
topic_2,ecb,0.3687698658185635
topic_2,european_jurisdiction,0.3687698658185635
topic_3,remanufacturer,0.7164520013998823
topic_3,remanufacturing,0.6544469277063673
topic_3,remanufacture_product,0.643757741661914
topic_3,oem,0.6014446833255686
topic_3,closedloop_supply_chain,0.5542472170372466
topic_3,original_manufacturer,0.5193820449154526
topic_3,clsc,0.5028156101334549
topic_3,remanufacturing_degree,0.4823573979175334
topic_3,pcm,0.4823573979175334
topic_3,dfr,0.4553432802649875
topic_4,indigenous,0.42116080216496815
topic_4,maori,0.40851296543511784
topic_4,theft_of_trade_secret,0.3821752204081054
topic_4,traditional_knowledge,0.3593723051024907
topic_4,indigenous_people,0.35485069012456
topic_4,itk,0.3497500831025305
topic_4,rooibos,0.3497500831025305
topic_4,protect_indigenous,0.33852240700508746
topic_4,access_benefitsharing,0.3380949976961149
topic_4,nagoya_protocol,0.33743865432319364
topic_5,expvp,0.5488037201904707
topic_5,combine_ability,0.5027805644408402
topic_5,zea,0.49187010967383205
topic_5,pbr,0.4677482321365126
topic_5,diversity_expert,0.4617175167358024
topic_5,industry_tester,0.4617175167358024
topic_5,inbreed,0.4442081301931394
topic_5,2011_2012,0.4263540668346221
topic_5,usda,0.42469025606938093
topic_5,maize_crop,0.4073206484440027
topic_6,csp_application,0.3702227464810684
topic_6,data_exclusivity,0.3388354914873903
topic_6,chinas_compulsory,0.3382347264184254
topic_6,compulsory_license,0.33520538768558933
topic_6,attempt_cl,0.3265065204987075
topic_6,disclosure_of_origin,0.32544041327031026
topic_6,ttip,0.3245175632883242
topic_6,malaysia,0.31626687530532754
topic_6,thailand,0.3015365175959377
topic_6,protect_plant,0.2999201248628586
topic_7,brazil,0.5856801689484806
topic_7,brazilian,0.5740364419933482
topic_7,hts_cable,0.4599455611027135
topic_7,brazils,0.4384910566447902
topic_7,bem,0.40567427886597734
topic_7,lei,0.40567427886597734
topic_7,tto,0.4035363559954916
topic_7,inpi,0.37332913959905445
topic_7,brazilian_academic,0.36986750833485504
topic_7,ai,0.3446231201693535
topic_8,seed_commons,0.5424259299138309
topic_8,seed_business,0.48350016108212507
topic_8,variety_constituent,0.48350016108212507
topic_8,community_plant,0.44375375151814045
topic_8,13_of_regulation,0.44375375151814045
topic_8,statutory_experimental,0.44375375151814045
topic_8,germplasm,0.4351929856405187
topic_8,dsi,0.4195934023494474
topic_8,protect_variety,0.4195934023494474
topic_8,variety,0.41797516396770473
topic_9,synthetic_biology,0.3517060989693868
topic_9,paulescu,0.33466483091874566
topic_9,stem_cell_biotechnological,0.32507338190543955
topic_9,stem_cell,0.3233564495743727
topic_9,romanian,0.29349145252360404
topic_9,geneedite_crop,0.2907313046388305
topic_9,human_embryo,0.2810165133010915
topic_9,ethical,0.27775960556520246
topic_9,romanian_scientist,0.2766778696527821
topic_9,paulescus,0.2766778696527821
topic_10,indian_pharmaceutical,0.6161682102669974
topic_10,india,0.3954248092266138
topic_10,postgraduate_student,0.3754258132962245
topic_10,bangladesh,0.35789038226855335
topic_10,processfocused_intellectual,0.349446094149016
topic_10,regime_enjoy,0.349446094149016
topic_10,strategic_choice,0.3424500014789198
topic_10,indian,0.3414233092196022
topic_10,1995,0.3388970517292505
topic_10,trips_compliance,0.32423142160113133
topic_11,tppa,0.4795059632192545
topic_11,homeopathic,0.45412154593551146
topic_11,deposit,0.42703000967144034
topic_11,linkage_system,0.4163070728748957
topic_11,health_of_citizen,0.39668480830266395
topic_11,illicit_drug,0.38862781688228437
topic_11,term_homeopathy,0.3874156008821142
topic_11,ldc,0.3537045213596553
topic_11,chile,0.3531471850090533
topic_11,noinfringement_warranty,0.3394755291781623
topic_12,ppmv,0.5240260426392211
topic_12,nigeria,0.5073734427367123
topic_12,malaria,0.4519317706775016
topic_12,ppmvs,0.43936090113017223
topic_12,artemisininbased_combination,0.4253029631769262
topic_12,malaria_treatment,0.4013548047247086
topic_12,mrdt,0.372741065341809
topic_12,fever,0.36951691186163205
topic_12,intervention,0.34493746487909394
topic_12,95_ci,0.34307655970658124
topic_13,corrosion,0.2302159195102191
topic_13,surface,0.2230823178750176
topic_13,coating,0.21922717662309008
topic_13,prototype,0.21465798959624188
topic_13,quantum,0.20661580693586426
topic_13,water,0.2040602389666656
topic_13,damper,0.20199814270939997
topic_13,temperature,0.200234797490761
topic_13,bracket,0.1994904175081951
topic_13,sensor,0.19871781393336457
topic_14,land,0.45861991475712693
topic_14,crop_protection,0.3586405082707556
topic_14,law_201301,0.3485326948005667
topic_14,yoruba,0.3485326948005667
topic_14,afbe,0.3485326948005667
topic_14,pesticide,0.3467026206782564
topic_14,np,0.3426715460372734
topic_14,afme,0.329199150527665
topic_14,coformulant,0.329199150527665
topic_14,hrm,0.3171075428881837
topic_15,tkdl,0.5148416749858589
topic_15,folklore,0.46498771868270977
topic_15,indian,0.4336978489717336
topic_15,icar,0.4203651453465572
topic_15,traditional_knowledge,0.4089416903534739
topic_15,digital_library,0.395465873747876
topic_15,white_collar,0.39225445641646317
topic_15,white_collar_crime,0.39225445641646317
topic_15,socioeconomic_offence,0.39225445641646317
topic_15,protect_expression,0.3790423525914035
topic_16,institutional_investor_communication,0.7425697140119211
topic_16,corporate_green,0.6964545655070693
topic_16,green_innovation,0.6254160531958871
topic_16,customer_concentration,0.6109912850602437
topic_16,major_customer,0.6109912850602437
topic_16,banker_director,0.6109912850602437
topic_16,csr,0.5749771648060696
topic_16,cepi,0.5401015744951598
topic_16,esg_rating,0.5401015744951598
topic_16,promote_corporate,0.523453309386939
topic_17,energy_industry,0.52023918898495
topic_17,dige,0.5029865775367303
topic_17,city,0.4900426940713852
topic_17,transport_development,0.48377251743716143
topic_17,tee,0.4703563175831332
topic_17,talent_war,0.46208710408629267
topic_17,regional_happiness,0.46208710408629267
topic_17,urban_ecoefficiency,0.43717607061918484
topic_17,permeable_pavement,0.43717607061918484
topic_17,tourism,0.4121101833865955
topic_18,electric_vehicle,0.32951234658160256
topic_18,catalytic_converter,0.3096874597955623
topic_18,ev,0.28598057067956034
topic_18,renewable_energy_industry,0.28598057067956034
topic_18,combustion_engine,0.28598057067956034
topic_18,energy,0.27879347533487625
topic_18,grid,0.2769251128515084
topic_18,hev,0.2747948243551721
topic_18,cfb_technology,0.2720764328393233
topic_18,cca_ip,0.2720764328393233
topic_19,parasite,0.3957437069195584
topic_19,infection,0.3848095034053831
topic_19,chmi,0.3412737151907013
topic_19,infect,0.2986789071311167
topic_19,mouse,0.2976909616417989
topic_19,vaccination,0.2908479410574702
topic_19,prepatent_period,0.29054982355695264
topic_19,plasmodium,0.27552196609176693
topic_19,mosquito,0.27552196609176693
topic_19,antibody_response,0.27552196609176693
topic_20,waterrelated_patent,0.43704932095056176
topic_20,japan,0.390237265516983
topic_20,south_korea,0.3892867266738658
topic_20,japanese,0.3726180227164206
topic_20,internalisation,0.36775904902955836
topic_20,fintech,0.3564259872895813
topic_20,kim,0.3564259872895813
topic_20,mining,0.3521900752882299
topic_20,internal_knowledge,0.3476619527475479
topic_20,jpo,0.3461627666716313
topic_21,german,0.5084007779826666
topic_21,sso,0.44026968072461115
topic_21,dignity,0.42514968133386855
topic_21,germany,0.4179808157678953
topic_21,technical_committee,0.38879296086460147
topic_21,rcd,0.38879296086460147
topic_21,farreaching,0.38879296086460147
topic_21,gdr,0.3767523178758432
topic_21,legal_system,0.36305047025846765
topic_21,contributor,0.35941475159677566
topic_22,government_institutional,0.4696158842943712
topic_22,subsidy_program,0.4220652519514864
topic_22,pph_partner,0.4220652519514864
topic_22,list_firm,0.4113137057642134
topic_22,upper_quantile,0.39340313947651395
topic_22,unused_trademark,0.39340313947651395
