topic,words,scores
topic_-1,international_patenting,0.11331295910778728
topic_-1,tcm,0.11306483514144668
topic_-1,bangladesh,0.10851745665534329
topic_-1,vc,0.10851745665534329
topic_-1,vietnam,0.10851745665534329
topic_-1,country,0.10810196318024656
topic_-1,space,0.1071465602914405
topic_-1,nanotechnology,0.10698581991073608
topic_-1,phthalate,0.10596557193783704
topic_-1,pile,0.10329579033657611
topic_0,remanufacturer,0.7646934933233134
topic_0,remanufacturing,0.6511982800499576
topic_0,remanufacture_product,0.6405302853894344
topic_0,closedloop_supply_chain,0.5908516780577427
topic_0,clsc,0.5908516780577427
topic_0,original_manufacturer,0.5569890105565218
topic_0,oem,0.5253732106510581
topic_0,remanufacturing_degree,0.47961879723345424
topic_0,retail_price,0.47961879723345424
topic_0,manufacturer,0.4658263351045548
topic_1,3dp,0.6192776320519634
topic_1,3d_printing,0.5589850552370553
topic_1,threedimensional_printing,0.5464453328757355
topic_1,pharmaceutically_relevant,0.5005768192292644
topic_1,printing,0.48561100198575674
topic_1,fdm,0.4742380028567431
topic_1,3d_printer,0.4742380028567431
topic_1,additive_manufacturing,0.47158093813726565
topic_1,print,0.44789020778925154
topic_1,model_polymer,0.44310966943473523
topic_2,vaccine,0.5055749207588128
topic_2,waiver,0.4069838820773908
topic_2,covid19_vaccine,0.4032150768092936
topic_2,pandemic,0.3915474582266775
topic_2,covid19_pandemic,0.35418020494179175
topic_2,covid19,0.33814481116362904
topic_2,pandemic_influenza,0.30293578597823134
topic_2,digital_health,0.2926052713544264
topic_2,global_vaccine,0.2864114065090116
topic_2,waive,0.28154563963019036
topic_3,american_inventors,0.6176554527420368
topic_3,aipa,0.6147157883188281
topic_3,disclosure,0.5906154680781431
topic_3,postaipa,0.5549139361665396
topic_3,cvc,0.5150318324106211
topic_3,cvc_funding,0.508497165453884
topic_3,18_month,0.48902934774525525
topic_3,cvc_unit,0.48037125980011736
topic_3,corporate_venture,0.48037125980011736
topic_3,debt,0.4685736035216366
topic_4,traditional_knowledge,0.5740564639148866
topic_4,genetic_resource,0.46169736789136356
topic_4,biological_diversity,0.45217965186261383
topic_4,tkdl,0.39172162897771234
topic_4,nagoya_protocol,0.3859711848862358
topic_4,tmk,0.3796462629530929
topic_4,biological_resource,0.3796462629530929
topic_4,indigenous_knowledge,0.37888635899984097
topic_4,indigenous,0.37667572696242857
topic_4,indigenous_people,0.367356305442909
topic_5,germplasm,0.4790879149967857
topic_5,genetic_diversity,0.4744627672108327
topic_5,cultivar,0.4461832087641401
topic_5,zea,0.42014461208078224
topic_5,expvp,0.42014461208078224
topic_5,genotype,0.39110807654223784
topic_5,descriptor,0.3806558587913436
topic_5,breeder,0.3686020275330391
topic_5,breed,0.3638373753833854
topic_5,inbred,0.3629802561076865
topic_6,stem_cell,0.748702777410744
topic_6,human_embryo,0.607919359017398
topic_6,stem_cell_biotechnological,0.5946347067853225
topic_6,human_embryonic,0.5946347067853225
topic_6,hesc,0.5580576756310783
topic_6,patentability_of_stem,0.4849386044740147
topic_6,potentiality,0.45236294429925633
topic_6,access_of_hesc,0.45236294429925633
topic_6,cell_biotechnological,0.45236294429925633
topic_6,human_parthenote,0.41257156960487884
topic_7,plant_variety,0.6278210009960454
topic_7,pbr,0.5191394329851765
topic_7,source_code,0.5046771774208061
topic_7,variety,0.46903061208140334
topic_7,variety_constituent,0.4604597713437219
topic_7,farmer,0.42965998677725525
topic_7,community_plant,0.42130098169976155
topic_7,raspberry,0.42130098169976155
topic_7,farmsaved_seed,0.42130098169976155
topic_7,propagate_material,0.42130098169976155
topic_8,synthetic_biology,0.421119964224898
topic_8,genome_editing,0.40113780685738004
topic_8,gene_editing,0.3987657828483409
topic_8,gene,0.39577471253806
topic_8,human_gene,0.37073959637460807
topic_8,molecular_pathology,0.3425590155451406
topic_8,myriad_genetics,0.33945118762282
topic_8,genetic_testing,0.3368258562130512
topic_8,crisprcas9,0.3315656352534491
topic_8,chinese_scholar,0.32619757477432015
topic_9,albania,0.5295711250931858
topic_9,biotechnology,0.4776753551850048
topic_9,agricultural_science,0.43359524031402474
topic_9,biotechnological,0.4144080535770993
topic_9,biotechnology_industry,0.4054710545870658
topic_9,eu_acquis,0.4049063969872315
topic_9,eu_membership,0.4049063969872315
topic_9,camelina,0.4049063969872315
topic_9,opensource,0.3719631220052362
topic_9,entrepreneurial_biotechnology,0.3697619097553659
topic_10,formal_appropriability,0.6234307214707578
topic_10,appropriability_mechanism,0.607688022535381
topic_10,external_search,0.4997689592316967
topic_10,absorptive_capacity,0.49290585613678567
topic_10,appropriability,0.48484978180782384
topic_10,formal_appropriation,0.46721228565531414
topic_10,rac,0.46721228565531414
topic_10,fip,0.46721228565531414
topic_10,depth,0.44714856292795524
topic_10,informal_appropriability,0.4272107145375357
topic_11,bilateral_regional,0.3999974826175736
topic_11,data_exclusivity,0.39706990602041364
topic_11,human,0.369921209753435
topic_11,7_8,0.3681005018661913
topic_11,trips,0.3627942372957097
topic_11,competitionrelated_provision,0.3337635217938841
topic_11,needsbased_hierarchy,0.3337635217938841
topic_11,human_wellbeing,0.3337635217938841
topic_11,social_acceptability,0.3337635217938841
topic_11,object_purpose,0.3337635217938841
topic_12,antiviral,0.4194121048841859
topic_12,hcv,0.39805391610152313
topic_12,leather,0.3836502393364289
topic_12,darunavir,0.38331210973598684
topic_12,sofosbuvirribavirin,0.38331210973598684
topic_12,prep,0.38307527214431236
topic_12,wildtype_virus,0.3657250548075332
topic_12,hcovoc43,0.3657250548075332
topic_12,mutant,0.357863131220716
topic_12,efavirenz,0.35474648031967104
