Topic,Words
Topic 0,"ai, artificial_intelligence, ai_implementer, emotional_airelate, inventorship, ai_machine, data_owner, ai_ruling, initial_set, aigenerate"
Topic 1,"threedimensional_shape, albania, trade_mark, germany_switzerland, eu, epc, eu_membership, eu_institution, dynamic_governance, eu_acquis"
Topic 2,"upc, unified_patent_court, unitary_patent, analytical_reflection, eu, prong, fee_shift, dutch_court, ecb, european_jurisdiction"
Topic 3,"remanufacturer, remanufacturing, remanufacture_product, oem, closedloop_supply_chain, original_manufacturer, clsc, remanufacturing_degree, pcm, dfr"
Topic 4,"indigenous, maori, theft_of_trade_secret, traditional_knowledge, indigenous_people, itk, rooibos, protect_indigenous, access_benefitsharing, nagoya_protocol"
Topic 5,"expvp, combine_ability, zea, pbr, diversity_expert, industry_tester, inbreed, 2011_2012, usda, maize_crop"
Topic 6,"csp_application, data_exclusivity, chinas_compulsory, compulsory_license, attempt_cl, disclosure_of_origin, ttip, malaysia, thailand, protect_plant"
Topic 7,"brazil, brazilian, hts_cable, brazils, bem, lei, tto, inpi, brazilian_academic, ai"
Topic 8,"seed_commons, seed_business, variety_constituent, community_plant, 13_of_regulation, statutory_experimental, germplasm, dsi, protect_variety, variety"
Topic 9,"synthetic_biology, paulescu, stem_cell_biotechnological, stem_cell, romanian, geneedite_crop, human_embryo, ethical, romanian_scientist, paulescus"
Topic 10,"indian_pharmaceutical, india, postgraduate_student, bangladesh, processfocused_intellectual, regime_enjoy, strategic_choice, indian, 1995, trips_compliance"
Topic 11,"tppa, homeopathic, deposit, linkage_system, health_of_citizen, illicit_drug, term_homeopathy, ldc, chile, noinfringement_warranty"
Topic 12,"ppmv, nigeria, malaria, ppmvs, artemisininbased_combination, malaria_treatment, mrdt, fever, intervention, 95_ci"
Topic 13,"corrosion, surface, coating, prototype, quantum, water, damper, temperature, bracket, sensor"
Topic 14,"land, crop_protection, law_201301, yoruba, afbe, pesticide, np, afme, coformulant, hrm"
Topic 15,"tkdl, folklore, indian, icar, traditional_knowledge, digital_library, white_collar, white_collar_crime, socioeconomic_offence, protect_expression"
Topic 16,"institutional_investor_communication, corporate_green, green_innovation, customer_concentration, major_customer, banker_director, csr, cepi, esg_rating, promote_corporate"
Topic 17,"energy_industry, dige, city, transport_development, tee, talent_war, regional_happiness, urban_ecoefficiency, permeable_pavement, tourism"
Topic 18,"electric_vehicle, catalytic_converter, ev, renewable_energy_industry, combustion_engine, energy, grid, hev, cfb_technology, cca_ip"
Topic 19,"parasite, infection, chmi, infect, mouse, vaccination, prepatent_period, plasmodium, mosquito, antibody_response"
Topic 20,"waterrelated_patent, japan, south_korea, japanese, internalisation, fintech, kim, mining, internal_knowledge, jpo"
Topic 21,"german, sso, dignity, germany, technical_committee, rcd, farreaching, gdr, legal_system, contributor"
Topic 22,"government_institutional, subsidy_program, pph_partner, list_firm, upper_quantile, unused_trademark, china_top, brand_award, international_competitiveness, firms_current"
Topic 23,"environmental_regulation, environmental, environmental_protection, green_utility, gti, enterprise, green, digital_finance, proportion_of_global, enterprise_gti"
Topic 24,"green_technology, cep, carbon_emission_performance, esg, green_finance, belt_road, rdfs, esg_performance, sustainable_green, protection_tax"
Topic 25,"antibody, 1498, biosimilar_developer, hhs_secretary, genetic_testing, epitope, york_times, naturally_occur, mab, biotechnologyrelated_pct"
Topic 26,"vaccine, covid19, covid19_pandemic, global_vaccine, covid19_vaccine, condition_of_covid19, covax_facility, parallel_import, coronavirus_pandemic, pandemic"
Topic 27,"vaccine, medical_countermeasure, arv, commons, pandemic, vaccine_combat, waiver, covid19_vaccine, global_health, ai_translate"
Topic 28,"human_gene, gene, chinese_scholar, traditional_medical, access_of_hesc, unique_response, antitrust_law, foreign_pressure, examination_guideline, chinas_patentintensive"
Topic 29,"transnational_law, taiwans, globalization_trend, fourth_amendment, chinese, institute_private, taiwan, willingness_of_chinese, expect_practical, encourage_wto"
Topic 30,"digital_economy, cloud_computing, real_estate, chinas, western, offshore_wind_power, ofdi, di, chinas_ofdi, water_environment"
Topic 31,"gs, licensing_earner, top_royalty, cancer_drug, cigarette, mhpaea_associate, generic_authorise, oncology_medicine, avert, inhaler"
