keywords,len
Patents Act 1977,3
European Patent Convention,3
legislative drafting,2
implementing treaties,2
harmonization,1
,1
right of priority,3
patents,1
Paris convention,2
European Patent Convention,3
TRIPS,1
applicable law,2
,1
intellectual property,2
patent,1
trademark,1
copyright,1
trade secret,2
BayhDole Act,2
America Invents Act,3
patent law,2
United States Patent and Trademark Office,6
US Patent Law,3
innovation,1
nanotechnology,1
nanomedicine,1
patent thickets,2
utility,1
novelty,1
nonobviousness,1
subject matter,2
statutory requirements,2
prior art,2
,1
,1
,1
competition law,2
Indian patents act,3
patent thicket,2
TRIPS flexibilities,2
,1
compensation,1
competition,1
compulsory licensing,2
patents,1
South Africa,2
,1
patent law,2
Letters Patent for Invention Act 1835,6
patent history,2
,1
Commercial law,2
sale of goods,3
marketled growth,2
structural adjustment programs SAPs Sale of Goods Act,8
Trademarks and Patents Act,4
warranties,1
,1
European Patent Convention,3
Unified Patent Court,3
patent claim scope,3
law of precedent,3
patent law international cooperation,4
,1
,1
,1
biotechnology,1
patentability requirements,2
European patent,2
unitary patent,2
Directive 9844,2
Regulation 12572012,2
harmonization,1
,1
Australia,1
intellectual property,2
patents,1
unjustified threats,2
,1
,1
,1
licensing,1
licensor,1
licensee,1
intellectual property,2
patents,1
invention,1
inventors,1
nanotechnology,1
patent law,2
ownership interest,2
United States Patent and Trademark Office USPTO,7
nondisclosure agreements,2
due diligence,2
trade secret,2
material transfer agreement,3
confidentiality,1
noncompete provisions,2
BayhDole Act,2
Government marchin rights,3
crosslicensing,1
export control laws,3
severability clause,2
,1
,1
HATCHWAXMAN ACT,2
DRUG PRICECOMPETITION,2
SETTLEMENTS,1
INNOVATION,1
LAW,1
Human Genome,2
Moratorium,1
Moral Clause in Patent Law,5
Mexico,1
,1
,1
,1
copyright,1
copyright reform,2
United Kingdom,2
Copyright,1
Designs and Patents Act 1988,5
,1
,1
TISSUE CONSTRUCTS,2
MYRIADGENETICS,1
3D,1
ETHICS,1
POLICY,1
CELLS,1
Patent Medicines,2
History of Patent Law,4
History of Medicines,3
History of Drug Regulation,4
Colonialism,1
History of South Asia,4
History of law,3
Cultural nationalism,2
Business History,2
,1
access to medicines,3
COVID19,1
international patent law history,4
lowandmiddleincomecountries,1
Paris Convention,2
TRIPS Agreement,2
TRIPS flexibilities,2
INTELLECTUAL PROPERTYRIGHTS,2
PATENTS,1
POLICIES,1
TRADE,1
,1
,1
local working requirement,3
TRIPS Agreement,2
Indian Patent Act,3
human rights,2
patent working disclosures,3
RIGHTS,1
TRIPS,1
,1
PRIVATE ENFORCEMENT,2
LITIGATION,1
STANDARDS,1
AGENCIES,1
LEGITIMACY,1
QUALITY,1
RIGHTS,1
STATE,1
,1
LAW,1
innovation,1
patents,1
employment nondiscrimination acts,3
ENDAs,1
sexual orientation,2
WRONGFULDISCHARGE LAWS,2
MARKET VALUE,2
GAY,1
MIGRATION,1
COSTS,1
STATE,1
,1
INDEPENDENT INVENTION,2
PROPERTY,1
RETHINKING,1
DEFENSE,1
RULES,1
America Invents Act,3
first inventor to file,4
prior art,2
postgrant procedures,2
,1
,1
,1
Article 31bis,2
compulsory licence CL,3
Patents Act 1983 PA,4
public health flexibilities,3
TRIPS Agreement,2
ACCESS,1
patent law,2
invention,1
patentability,1
human inventor,2
artificial intelligence AI inventor,4
,1
Compulsory Licenses,2
Patent Rights,2
Public interests,2
Balance of Interests,3
Iranian Law,2
,1
,1
,1
Intellectual property,2
Patents,1
Traditional knowledge,2
Disclosure requirements,2
Convention on Biological Diversity CBD Nagoya Protocol,7
Genetic resources,2
,1
,1
HATCHWAXMAN ACT,2
CORPORATECONTROL,1
SHAREHOLDERS,1
MARKET,1
GOVERNANCE,1
GREENMAIL,1
PAYMENT,1
DELAY,1
NO,1
,1
GENERIC ENTRY,2
SETTLEMENT,1
INNOVATION,1
HOLDUP,1
PORTFOLIOS,1
LITIGATION,1
ACCURACY,1
PAYMENT,1
ACTAVIS,1
TROLLS,1
,1
PATENT HOLDUP,2
Colonialism,1
India,1
innovation,1
patent,1
science,1
technology,1
LAW,1
COPYRIGHT,1
MEDICINE,1
DESIGNS,1
direct infringement,2
indirect infringement,2
joint torts,2
multiparty infringement,2
patent,1
,1
,1
,1
,1
,1
,1
,1
nanomedicine,1
nanosimilars,1
nanopharmaceuticals,1
regulation,1
patents,1
US Patent  Trademark Office PTO,6
patent laws,2
patent classification,2
Commercialization,1
FDA regulation,2
invention,1
patent thickets,2
BayhDole Act,2
European Medicines Agency EMA,4
Food and Drug Administration FDA,5
Doxil R,2
Nanotechnology Characterization Laboratory NCL,4
postblockbuster world,2
Abraxane R,2
monoclonal antibodies mABs,3
nanotechnology,1
nonbiologic complex drug NBCD,4
followon biologics,2
biosimilars,1
immunogenicity,1
pharmacokinetics,1
pharmacodynamics,1
Abbreviated New Drug Application ANDA,5
New Drug Application NDA,4
bioequivalence,1
PEGYLATED LIPOSOMAL DOXORUBICIN,3
TUMORNECROSISFACTOR,1
COMPLEXDRUGS NBCD,2
COLLOIDAL GOLD,2
PRODUCTS,1
NANOPARTICLES,1
DELIVERY,1
PHARMACOKINETICS,1
ACTIVATION,1
STRATEGIES,1
,1
,1
traditional knowledge,2
intellectual property rights,3
patent,1
copyright,1
TRIPS,1
,1
,1
VORNADO,1
Patent Litigation,2
PCT,1
National Treatment,2
Mexico,1
USMCA,1
NAFTA,1
,1
European Patent,2
Accession,1
Patents,1
Middle income countries,3
Regional patent system,3
INTELLECTUAL PROPERTYRIGHTS,2
INNOVATION,1
PROTECTION,1
TECHNOLOGY,1
,1
LAW,1
Indigenous knowledge,2
Aboriginal and Torres Strait Islander peoples,6
biological resources,2
patent trends,2
legal geography,2
biopiracy,1
access and benefitsharing,3
Nagoya Protocol,2
NORTHERN AUSTRALIA,2
MYOPORACEAE,1
KNOWLEDGE,1
ECOLOGY,1
LAND,1
,1
,1
patent,1
asset class,2
market intermediary,2
convention,1
regulation,1
INTELLECTUAL PROPERTYRIGHTS,2
TECHNOLOGY,1
TROLLS,1
BROKERS,1
FIRMS,1
gene patent,2
compulsory license,2
Myriad,1
research exemption,2
Taiwan Patent Act,3
patient access,2
patent eligibility,2
,1
,1
ADMINISTRATIVELAW,1
America Invents Act AIA,4
patents,1
product portfolio,2
systems,1
systems thinking,2
unintended consequences,2
intellectual property,2
,1
,1
COPYRIGHT PROTECTION,2
COMPUTERPROGRAMS,1
FAIRUSE,1
ART,1
LAW,1
,1
,1
,1
INTELLECTUAL PROPERTY,2
INNOVATION,1
INDICATORS,1
CITATIONS,1
ECONOMICS,1
RENEWAL,1
RIGHTS,1
FORUM,1
,1
JURISDICTION,1
RETHINKING,1
COURTS,1
Biotechnology Inventions,2
Patents,1
Ethics,1
Morality,1
ICMR,1
Bioethics Principle,2
Patent Protection,2
Public Order,2
,1
,1
ACT,1
Biologics,1
biosimilars,1
FDA,1
law,1
patent,1
pharmaceuticals,1
,1
,1
FEDERAL CIRCUIT,2
PATENT,1
QUESTIONS,1
SEARCH,1
COURT,1
LAW,1
,1
FEDERAL CIRCUIT,2
SYSTEM,1
TAX,1
DEFERENCE,1
ACCURACY,1
CHEVRON,1
MEAD,1
LAW,1
,1
,1
,1
TORT LAW,2
PROPERTY,1
Patents,1
Paris convention,2
E Merck,2
regulation,1
,1
patent law,2
China,1
law reform,2
,1
,1
ANTITRUST,1
LAW,1
RULE,1
HOLDUP,1
REASON,1
FRAND,1
GOALS,1
,1
INTELLECTUAL PROPERTY,2
COPYRIGHT,1
CREATIVITY,1
LAW,1
HISTORY,1
FEIST,1
Inflation Reduction Act,3
Medicare,1
Patents,1
Price Negotiation,2
Takings Clause,2
,1
,1
FEDERAL CIRCUIT,2
TROLLS,1
SYSTEM,1
COURT,1
,1
,1
Balance,1
innovation,1
patent law,2
patent policy,2
social costs and benefits of intellectual property,7
INNOVATION,1
ECONOMICS,1
LAW,1
,1
,1
,1
MARKET,1
Antisuit injunctions,2
Standard essential patents,3
Litigation,1
China,1
Act preservation,2
International norms,2
,1
Drugs,1
Patent protection,2
Generics,1
Drug labels,2
,1
Patent,1
China,1
SEP,1
Antitrust,1
Patent law,2
COUNTERFEITING TRADE AGREEMENT,3
TEXT,1
,1
,1
,1
,1
,1
HATCHWAXMAN ACT,2
MEDICAREPART D,2
GENERIC ENTRY,2
PATENT EXPIRY,2
COMPETITION,1
INNOVATION,1
DRUGS,1
BRAND,1
LAW,1
ACTAVIS,1
,1
LAW,1
CIRCUIT,1
CHOICE,1
COMPETITION,1
SELECTION,1
,1
INTELLECTUAL PROPERTY,2
FAIRUSE,1
1ST AMENDMENT,2
1STAMENDMENT,1
COPYRIGHT,1
DOCTRINE,1
LAW,1
STANDARDS,1
MATTER,1
MISUSE,1
AI,1
copyright,1
IoT,1
patent,1
,1
Dissemination,1
gender,1
incentive,1
innovation,1
invention,1
patent law,2
reward,1
sex,1
INTELLECTUAL PROPERTY,2
COMPUTERSCIENCE,1
WOMEN,1
LAW,1
ECONOMICS,1
INVENTION,1
GAP,1
SEX,1
INNOVATION,1
FEMINISM,1
genome editing,2
genetic interventions,2
Oviedo Convention,2
human gametes,2
human embryos,2
research,1
reproductive applications,2
precautionary principle,2
safety,1
morality clauses,2
CRISPR,1
BIOTECHNOLOGY,1
,1
,1
RD competition,2
Patent laws and legislation,4
Intellectual property rights,3
Patent priority rules,3
Sequential innovation,2
Management of technological innovation and RD,6
INNOVATION,1
exhaustion doctrine,2
parallel importation,2
Thai patent law,3
parallel patents,2
exhaustion of patent rights,4
ASEAN Economic Community,3
free movement of goods,4
LAW,1
,1
POLICY,1
SCOPE,1
EU,1
Competition law,2
Antitrust,1
Patents,1
Divisional patents,2
Pharmaceuticals,1
Monopoly,1
Judicial review,2
EU COMPETITION LAW,3
Discretion criteria,2
Administrative enforcement,2
Innovation,1
INTELLECTUAL PROPERTYRIGHTS,2
REFORM,1
,1
,1
,1
FEDERALCOURTS,1
SEPARATION,1
CIRCUIT,1
POWERS,1
QUESTIONS,1
VALIDITY,1
SYSTEM,1
POLICY,1
Adverse selection,2
Appropriability problem,2
Blackmail,1
Patents,1
ECONOMICANALYSIS,1
