topic,words,scores
topic_-1,prep,0.1329193154927635
topic_-1,cpm,0.1194403021916528
topic_-1,government_institutional,0.11655197718033454
topic_-1,cannabis,0.11383080477441833
topic_-1,chaos,0.11098299012028831
topic_-1,hiv,0.11011663671220738
topic_-1,tfp,0.1100248171819454
topic_-1,treatment_program,0.10799339617730976
topic_-1,3dp,0.10799339617730976
topic_-1,orthopaedic_surgeon,0.10799339617730976
topic_0,ai,0.8044765413929372
topic_0,artificial_intelligence,0.5227689892536197
topic_0,ai_implementer,0.4599781090627188
topic_0,emotional_airelate,0.4599781090627188
topic_0,inventorship,0.43562247030353357
topic_0,ai_machine,0.43315338420557714
topic_0,data_owner,0.40193946335109504
topic_0,ai_ruling,0.40193946335109504
topic_0,initial_set,0.40193946335109504
topic_0,aigenerate,0.4007826849400063
topic_1,german,0.5418491679193582
topic_1,germany,0.45866277973148883
topic_1,sso,0.4512218816266057
topic_1,dignity,0.4477839853055376
topic_1,farreaching,0.4094816583241004
topic_1,technical_committee,0.4094816583241004
topic_1,legal_system,0.40582881369700835
topic_1,gdr,0.3967106023126429
topic_1,contributor,0.3832617326162839
topic_1,acknowledge,0.3743702544135837
topic_2,remanufacturer,0.7593691863279453
topic_2,remanufacturing,0.6887004594227762
topic_2,remanufacture_product,0.6773908840036224
topic_2,oem,0.6331545937734664
topic_2,closedloop_supply_chain,0.5854563708601108
topic_2,original_manufacturer,0.5482115970565291
topic_2,clsc,0.5363460846934276
topic_2,remanufacturing_degree,0.5069459537731442
topic_2,pcm,0.5069459537731442
topic_2,licensing_fee,0.48377371668622693
topic_3,upc,0.5505297696333005
topic_3,unified_patent_court,0.5186738549368315
topic_3,unitary_patent,0.4436748576333565
topic_3,eu,0.41179239478813967
topic_3,analytical_reflection,0.4097391409994016
topic_3,prong,0.39704173190249836
topic_3,krka,0.3738274201455373
topic_3,brussels_regulation,0.3738274201455373
topic_3,european_jurisdiction,0.3738274201455373
topic_3,participatory,0.3738274201455373
topic_4,threedimensional_shape,0.5280838294445127
topic_4,albania,0.5012101823323561
topic_4,germany_switzerland,0.48599532127220246
topic_4,trade_mark,0.4830515300776975
topic_4,eu,0.39810588885019926
topic_4,epc,0.38721859373784207
topic_4,dynamic_governance,0.37806166440157285
topic_4,eu_acquis,0.37806166440157285
topic_4,separate_legal,0.37806166440157285
topic_4,eu_membership,0.37806166440157285
topic_5,indigenous,0.42126591913972694
topic_5,maori,0.41254086787607847
topic_5,theft_of_trade_secret,0.38579038157507894
topic_5,nagoya_protocol,0.37015806596984485
topic_5,indigenous_people,0.3678756488282693
topic_5,traditional_knowledge,0.35946768827430436
topic_5,itk,0.3528935201666937
topic_5,rooibos,0.3528935201666937
topic_5,australia,0.3439069897252054
topic_5,protect_indigenous,0.3414386429125194
topic_6,brazil,0.5813014657642163
topic_6,brazilian,0.5695075996909063
topic_6,hts_cable,0.47024232617826084
topic_6,tto,0.4321227638201627
topic_6,bem,0.41465862444434654
topic_6,lei,0.41465862444434654
topic_6,brazils,0.411854815932161
topic_6,brazilian_academic,0.37800283952563685
topic_6,inpi,0.37189114765427495
topic_6,ai,0.36382783051365886
topic_7,csp_application,0.3695751971678625
topic_7,data_exclusivity,0.3562105721883987
topic_7,chinas_compulsory,0.33746837867321033
topic_7,compulsory_license,0.33608253601444726
topic_7,disclosure_of_origin,0.3245020393284672
topic_7,ttip,0.32301369186966644
topic_7,malaysia,0.3083743852356448
topic_7,trips_flexibility,0.30700586889805476
topic_7,trips_agreement,0.3029698212288583
topic_7,attempt_cl,0.3022280788229157
topic_8,expvp,0.5685114549125324
topic_8,combine_ability,0.5208224500256289
topic_8,zea,0.5094003623786664
topic_8,diversity_expert,0.4781786557443099
topic_8,industry_tester,0.4781786557443099
topic_8,2011_2012,0.46351328690226107
topic_8,inbreed,0.46054155704376915
topic_8,usda,0.43979490771792495
topic_8,germplasm_committee,0.4217244492447824
topic_8,maize_crop,0.4217244492447824
topic_9,seed_commons,0.5675444080379004
topic_9,seed_business,0.5056971956592051
topic_9,variety_constituent,0.5056971956592051
topic_9,statutory_experimental,0.4640156004090319
topic_9,community_plant,0.4640156004090319
