Article Title,Keywords,Abstract,Publication Year,Research Areas
Mr Skemp's preposterous provision: the drafting of the Patents Act 1977 and harmonization in the 1970s,Patents Act 1977; European Patent Convention; legislative drafting; implementing treaties; harmonization; ,"The Patents Act 1977 created a new law of patents based on the European Patent Convention (1973). However, the wording of the Act did not 'copy out' the text of the Convention, but was drafted in traditional statutory language to give it effect. Nevertheless, to facilitate harmonization, the Act included a unique provision in British law: section 130(7). Both the drafter's approach and this 'preposterous' provision have been lamented by the patent judiciary for nearly four decades. But is this criticism fair?",2015,Government & Law
An Intellectual Property Primer for Nanomedical Researchers and Engineers,intellectual property; patent; trademark; copyright; trade secret; Bayh-Dole Act; America Invents Act; patent law; United States Patent and Trademark Office; US Patent Law; innovation; nanotechnology; nanomedicine; patent thickets; utility; novelty; nonobviousness; subject matter; statutory requirements; prior art; ,,2016,Business & Economics; Engineering; Science & Technology - Other Topics; Government & Law; Research & Experimental Medicine
The compliance of South Africa's patents compulsory licensing regime to the TRIPs Agreement,compensation; competition; compulsory licensing; patents; South Africa; ,"In South Africa, patents compulsory licences can be issued under the Patents Act or Competition Act although the latter is not explicit. Whereas there has not been a single compulsory licence issued through the Patents Act, there is however a growing interest to obtain compulsory licences of drugs using the competition law regime. Focusing specifically on the standard of compensation, the objectives of this paper are two-fold: first, it seeks to determine why there is a growing interest in resorting to the competition route as opposed to the Patents Act. Secondly, the paper aims to determine the extent to which the South African compulsory licensing regime complies with the TRIPs Agreement. It is found herein that the standard of compensation under patents law is higher than that found in the competition law cases. Further, it is found however that compulsory licences issued through the competition law do not take into account the procedural safeguards that are found in the Patents Act as well as the TRIPs Agreement; as such, they undoubtedly infringe the rights of the patentees. The article recommends that the South African Competition Act should be reviewed with a view to aligning its compulsory licensing scheme with that of the Patents Act and the TRIPs Agreement, thereby establishing a nexus between competition law and patents law. This paper comes at an opportune moment in which South Africa and China are urging other WTO members to share their national experiences on the use of competition law to ensure access to health, and it shall therefore shed some light on how South Africa does it and the obstacles therein.",2019,Government & Law
Minutes of Evidence of the Select Committee on the Letters Patent for Invention Act 1835,patent law; Letters Patent for Invention Act 1835; patent history; ,The evidence heard before the House of Lords Select Committee which considered the Letter Patent for Invention Act 1835 was never published in the Sessional Papers. This corrects that oversight and provides valuable primary evidence on patent reform in the 1830s.,2017,Government & Law
Commercial Law,Commercial law; sale of goods; market-led growth; structural adjustment programs (SAPs) Sale of Goods Act; Trademarks and Patents Act; warranties; ,,2016,Business & Economics; Government & Law
"Biotechnology patenting caught between Union law and EPC law: European bundle patents, unitary patents and intentional harmonization of decisions in the internal market",biotechnology; patentability requirements; European patent; unitary patent; Directive 98/44; Regulation 1257/2012; harmonization; ,"Although in the European Union (the Union) the substantive rules for the patenting of biotechnological inventions are governed by Directive 98/44, the actual examination and grant of patents in Europe is provided by the European Patent Office (EPO), which is not part of the Union legal order and acts according to a non-Union legal instrument, the European Patent Convention (EPC). This hybrid situation results in legal uncertainty and can lead to partly inconsistent applications of patentability requirements, since the EPO is not bound to Union law and cannot refer questions to the Court of Justice of the EU (CJEU). Thus, there is no guarantee that the Union and Unified Patent Court (UPC) judiciaries, on the one hand, and the EPO judiciaries, on the other hand, will come to comparable conclusions regarding the patenting of identical biotechnological subject-matter in the Union, irrespective of whether it concerns a classic European patent or a unitary patent. However, the unitary patent is introduced in the framework of fostering the functioning of the internal market and ensuring undistorted competition, and it provides uniform protection. The CJEU has given a very limited interpretation only to this concept of uniformity, leaving room for inconsistent decisions. Hence, it would appear that only intentional, determined harmonization efforts of the diverse judiciaries involved can increase consistency between decisions of the Union and the non-Union legal systems, although the judiciaries are unrelated. This call for coherency becomes even more pressing with the establishment of the unitary patent. Given this complex situation it may be questioned whether in the Union the law-makers of Directive 98/44 can fully achieve their aim in regulating and harmonizing biotechnology patenting.",2016,Government & Law
"SALVAGING THE LAW OF PATENT VENUE: BRUNETTE, TC HEARTLAND, AND THE VENUE CLARIFICATION ACT",; ,"In TC Heartland v. Kraft Foods Group Brands, the Supreme Court reaffirmed the principle that no part of the general venue statute, 28 U.S.C. 1391, could supplement the patent venue statute, 28 U.S.C. 1400(b). Yet, in Brunette Machine Works v. Kockum Industries, the Court nevertheless held that former 1391(d), which allowed suits against aliens in any district, applied in patent cases because aliens simply lacked all venue defenses. But then, in 2011, Congress passed the Venue Clarification Act, amending 1391 to affirmatively give a venue defense to permanent resident aliens. This entangled trifecta of venue law sources leaves open several important questions about the current state of patent venue: Does Brunette contravene TC Heartland? Does the Venue Clarification Act overrule Brunette? Does TC Heartland forbid applying the Venue Clarification Act to patent suits? This Comment reconciles these sources of law and extricates them from their current mire. Ultimately, this Comment argues that Brunette and TC Heartland do not conflict, that Brunette must be tweaked to accommodate the Venue Clarification Act, and that select provisions of the Venue Clarification Act do, in fact, apply to the patent venue statute.",2019,Government & Law
Licensing Issues in Nanotechnology,licensing; licensor; licensee; intellectual property; patents; invention; inventors; nanotechnology; patent law; ownership interest; United States Patent and Trademark Office (USPTO); non-disclosure agreements; due diligence; trade secret; material transfer agreement; confidentiality; non-compete provisions; Bayh-Dole Act; Government march-in rights; cross-licensing; export control laws; severability clause; ,,2016,Business & Economics; Engineering; Science & Technology - Other Topics; Government & Law; Research & Experimental Medicine
Pharmaceutical patents,; HATCH-WAXMAN ACT; DRUG PRICE-COMPETITION; SETTLEMENTS; INNOVATION; LAW,,2019,Government & Law
The need for a new Copyright Act: a case study in law reform The Herchel Smith Intellectual Property Lecture 2014,copyright; copyright reform; United Kingdom; Copyright; Designs and Patents Act 1988; ,"There were three United Kingdom Copyright Acts in the twentieth century. It is now 26 years since the Copyright, Designs and Patents Act 1988 was passed. The major thesis of this lecture is that it is time for a new Copyright Act. The minor thesis is that we need to re-think our approach to copyright law reform. Both theses are illustrated by the history of UK copyright legislation over the last 140 years.",2015,Government & Law
