Article Title,Keywords,Abstract,Publication Year,Research Areas,label
The law applicable to the right of priority from a European perspective,right of priority; patents; Paris convention; European Patent Convention; TRIPS; applicable law; ,"The right of priority established in the Paris Convention for the Protection of Industrial Property allows a patent applicant to claim the filing date of a first application for any subsequent applications for the same invention filed within twelve months in another Paris Convention Contracting State. This right may be claimed by the person who has filed an application or their successor in title. If priority is not validly claimed, patent applications and patents relying on the right may be rejected, revoked or invalidated. National and regional rules governing who may claim priority, whether a priority right may be divided or shared, whether it may be transferred independently of the priority application and the rights to the invention, and the requirements for a valid transfer differ from country to country. The issue of whether priority has been validly claimed may therefore depend on which country's law applies, which depends on the characterisation of the issues. The aim of this article is to provide a European perspective on the law applicable to the right of priority.",2024,Government & Law,1
"The devil is in the divisional: an analysis of divisional patents, deadlines, declarations and suggestions for future practice",; ,"center dot This article argues that divisional patent applications and litigation are strategically employed in the pharmaceutical sector to delay generic and biosimilar market entry. These practices are given a legitimate basis in the European Patent Convention and the Patents Act 1977, but recent UK case law shows that their misuse results in deliberate obfuscation of existing safeguards. center dot Nonetheless, patent law should not be passive. The reintroduction of the divisional filing time limit coupled with shorter compliance periods would offer practical administrative steps for shortening the time frame within which divisionals can be filed. Moreover, further clarity surrounding the implementation of the double patenting prohibition would reduce the number of substantially similar divisional patents that are successfully obtained. center dot This article also discusses Arrow declarations at length, before concluding with a brief analysis of the suitability of the abuse of process doctrine for dealing with divisional misuse.",2024,Government & Law,1
Incorporation of competition-related TRIPS flexibilities in the domestic law: A case study of India,competition law; Indian patents act; patent thicket; TRIPS flexibilities; ,"Abuse of patent rights can hit the three pillars of the competition law viz., agreements, abuse of dominant position and combination (mergers and acquisitions). In the context of the interface between competition law and patented inventions, the following acts can strike hard at the different pillars of competition law. First, the licensing agreements containing conditions, which may prevent competition, can attract the provisions of competition law to regulate agreements. Second, high prices on patented products can be treated as an abuse of dominant position. Third, refusal to license an intellectual property right may be anticompetitive under certain conditions such as refusing to license the second/dependent patent over the existing patented invention, and refusal on reasonable terms to the competitors. The TRIPS Agreement does contain flexibilities offering remedies to address the public interest aspects including the abuse of patents. This paper examines the implementation of competition law-related flexibilities in the Indian Patents Act and the Competition Act in the context of pharmaceutical product patents. It argues that though competition law flexibilities are incorporated in both statutes, there is further scope for optimising the scope of these flexibilities.",2020,Government & Law,1
The Herchel Smith Intellectual Property Lecture 2022*The UK courts' striving for consistency with international decisions in patent law,European Patent Convention; Unified Patent Court; patent claim scope; law of precedent; patent law international cooperation; ,"The Patents Court, the Court of Appeal and the Supreme Court (before that, the House of Lords) have all and for many years stressed the need for consistency with decisions of the Boards of Appeal of the EPO. They have also taken account of decisions of the national courts of other EPC member states on many occasions in pursuit of consistency, in relation to validity but also infringement. This lecture will consider: how this has been done; when it has worked well and less well; how it can and should work if the EPO (in particular) changes or develops its law differently from the UK; and how that fits with the law of precedent. It will also consider the issues that may arise with decisions under the UPC.",2024,Government & Law,1
REWARDING PHARMACEUTICAL INNOVATION FOR BEING INNOVATIVE: A SUMMARY OF THE PHARMACEUTICAL PATENT SYSTEM AND AN AMENDMENT TO THE PATENT ACT TO NEGATE EVERGREENING AND PATENT THICKETS,; ,"This article proposes an amendment to the Patent Act that discourages anti-competitive patent practices in the pharmaceutical industry without interfering with follow-on innovation. It begins by introducing the pharmaceutical industry and its reliance on patents. It then explores pharmaceutical follow-on innovations that amount to secondary patents and the arising issues of evergreening and patent thickets. While follow-on innovation is imperative to public health and a natural outcome of pharmaceutical innovation, the secondary patents essential to encourage such innovation are being used gratuitously, likely representing anti-competitive strategies. Next, this article analyzes comparative law that has addressed these anti-competitive concerns, the inadequacy of this comparative law, and advocates that patentability standards should not be heightened to combat anti-competitive patent strategy. Finally, the article analyzes Canadian case law on the doctrine of selection patents to draw inspiration for a Patent Act amendment designed to thwart anti-competitive patent practice without impairing genuine and benecial follow-on innovation.",2024,Government & Law,1
Patents and unjustified threats-Legal solutions in Australia,Australia; intellectual property; patents; unjustified threats; ,"While intellectual property laws protect rights holders from infringement of their intellectual property, these laws also protect against abuse of those rights where rights holders unjustifiably threaten competitors with infringement proceedings. The introduction of additional damages for flagrant unjustified threats under the recent Intellectual Property Laws Amendment (Productivity Commission Response Part 1 and Other Measures) Act 2018 (Cth) may benefit an alleged infringer who is not found to have infringed a valid patent. In particular, new section 128(1A) to the Patents Act 1990 allows additional damages to be awarded against a person for making blatant unjustified threats of infringing a patent. In cases where it is difficult to determine the loss and ordinary damages cannot be awarded, a court could award a nominal amount in compensation, but the difficulty lies in whether, in some cases, damages can be awarded at all. This raises the need to consider other legal avenues to address the issue of unjustified threats relating to patented inventions. In this paper we have identified four such other legal avenues being: specific provisions of the Australian Consumer Law; the misuse of market power provisions in s 46 Competition and Consumer Act 2010 (Cth); the duty of care and diligence in s 180 Corporations Act 2001 (Cth); and the law of joint tortfeasorship. Each of these potential legal solutions will be examined in turn however a comparison of remedies, or interactions with the laws of evidence, and exploration of costs are beyond the scope of this analysis. Further while we acknowledge that other Australian legislation provides a cause of action arising from the making of unjustifiable threats, such as in the Copyright Act 1968, the Trade Marks Act 1995, the Designs Act 2003 and the Circuit Layouts Act 1986, this paper is focused on the Patents Act 1990 only.",2024,Government & Law,1
THE MORAL CLAUSE IN PATENT LAW AND THREATS POSED BY HUMAN GERMLINE GENOME EDITING,Human Genome; Moratorium; Moral Clause in Patent Law; Mexico; ,"This article examines whether the lack of closure of moral clauses in patent laws, particularly in dealing with the issue of human germline genome editing, causes such clauses to fail to function as a moratorium in countries like Mexico. The hypothesis posed here is that a general, open, moral clause in intellectual property legislation, specifically in patent law, is ineffective when confronted with a foreseeable but strong innovation that alters an area of applied biology such as human germline genome editing. Using the deductive method, this research aims to determine whether countries like Mexico need to provide more specific guidance in their legislation on technological innovations like human germline modification in order to foster an atmosphere of legal certainty. A comparative analysis of the closed morals clause in the European Patent Convention and the open morals clause in Mexico's intellectual property law confirms this hypothesis. Specifically, the lack of closure of a morals clause in patent law, when confronted with novel and complex technological advances, will likely fail to function as a moratorium.",2021,Government & Law,1
What's Your Move? The Development of Patent Dance Jurisprudence After Sandoz and Its Practical Impacts,; ,"The new patent dispute resolution process under the Biologics Price Competition and Innovation Act (BPCIA), so-called the patent dance, has generated extensive debates in the field of biologics since its enactment. This Article explores the development of patent dance jurisprudence, discusses the incentives and disincentives created by the law, and assesses whether the law meets the legislative intent.",2022,Food Science & Technology; Government & Law; Nutrition & Dietetics; Pharmacology & Pharmacy,1
"MEDICINE AND COLONIAL PATENT LAW IN INDIA: A Study of Patent Medicines and the Indian Patents and Designs Act, 1911 in Early- Twentieth-Century India",Patent Medicines; History of Patent Law; History of Medicines; History of Drug Regulation; Colonialism; History of South Asia; History of law; Cultural nationalism; Business History; ,"This paper investigates the history of drugs sold as patent medicines in India in the early twentieth century. The paper investigates their legitimacy as patenting of medicines was forbidden by the Indian Patents and Designs Act, 1911 (IPDA). The paper argues that the instrument of letters patents functioning as the prerogative of the Crown that gave monopolistic rights to grantees to sell any compound without having to disclose its constituents was the reason behind this seemingly conflicting historical relationship between the law and the market. Colonial law-making left sufficient space within the ambit of the IPDA for letters patents to have their ill effects. The colonial state made attempts to address this as a public health issue by incorporating concerns related to this class of medicines within regulations addressed to the drugs market in the 1930s. The currency of patent medicines in the market was further added to by Indian indigenous entrepreneurs fueled by cultural nationalism of Swadeshi ideology in Bengal in the early twentieth century. However, even such indigenous responses or attempts at hybridization of manufacturing and selling practices related to patent medicines were mostly informed by upper-caste/ upper-class interests and not so much by those of consumers of these medicines.",2020,Health Care Sciences & Services; History & Philosophy of Science,1
Historical account of dwindling national flexibilities from the Paris Convention to post-TRIPS era: What implications for access-to-medicines in low-and-middle-income-countries?,access to medicines; COVID-19; international patent law history; low-and-middle-income-countries; Paris Convention; TRIPS Agreement; TRIPS flexibilities; INTELLECTUAL PROPERTY-RIGHTS; PATENTS; POLICIES; TRADE,"It is arguable that the most significant feature of the maiden Paris Convention is the creation of a remarkably broad national policy space which allowed Union members to balance the implementation of required obligations with the need to occasionally attend to national exigencies. Thus, a member may choose not to offer industrial property protection if national interests would be best served by doing so. While subsequent revisions to the Paris Convention chipped away at national flexibilities, the most strident attack to national flexibilities occurs under the Agreement for the Trade-Related Aspects of Intellectual Property Rights and the period after it. This paper puts the almost-unnoticed whittling down of national flexibilities in international patent agreements in historical perspective. It subsequently discusses four ways through which this development could exacerbate access-to-medicines in low-and-middle-income-countries.",2022,Government & Law,1
